,Education,Marital_Status,Income,Kids,Expenses,TotalAcceptedCmp,NumTotalPurchases,Age,day_engaged,cluster
0,0,0,58138.0,0,1617,1,25,58,997,2
1,0,0,46344.0,2,27,0,6,61,151,1
2,0,1,71613.0,0,776,0,21,50,498,2
3,0,1,26646.0,1,53,0,8,31,91,1
4,0,1,58293.0,1,422,0,19,34,347,1
5,0,1,62513.0,1,716,0,22,48,479,2
6,0,0,55635.0,1,590,0,21,44,779,2
7,0,1,33454.0,1,169,0,10,30,514,1
8,0,1,30351.0,1,46,1,6,41,574,1
9,0,1,5648.0,2,49,1,2,65,294,1
10,0,1,52247.25135379061,1,19,0,4,32,412,1
11,1,1,7500.0,0,61,0,6,39,779,3
12,0,0,63033.0,0,1102,0,16,56,412,2
13,0,0,59354.0,2,310,0,15,63,412,1
14,0,1,17323.0,0,46,0,5,28,813,1
15,0,0,82800.0,0,1315,3,26,69,768,2
16,0,1,41850.0,2,96,0,9,35,738,1
17,0,1,37760.0,0,317,0,13,69,853,1
18,0,1,76995.0,1,1782,1,26,66,644,2
19,0,0,33812.0,1,133,0,8,30,1026,1
20,0,1,37040.0,0,316,0,12,33,876,1
21,0,1,2447.0,1,1730,0,43,36,579,2
22,0,1,58607.0,1,972,1,17,66,739,2
23,0,1,65324.0,1,544,0,20,61,61,2
24,0,1,40689.0,1,444,0,20,64,654,1
25,0,0,18589.0,0,75,0,8,46,699,1
26,0,1,53359.0,2,257,0,14,39,584,1
27,0,0,52247.25135379061,1,637,0,27,29,680,2
28,0,1,38360.0,1,131,0,9,26,580,1
29,0,1,84618.0,0,1672,1,26,50,405,2
30,0,0,10979.0,0,30,0,8,26,224,1
31,0,1,38620.0,0,318,0,11,52,422,1
32,0,1,40548.0,1,120,1,9,45,813,1
33,0,0,46610.0,2,302,1,17,63,794,1
34,0,1,68657.0,0,1196,0,18,69,680,2
35,0,0,49389.0,2,65,0,6,64,490,1
36,0,1,67353.0,1,913,0,28,45,366,2
37,0,1,23718.0,1,81,0,9,39,691,1
38,0,0,42429.0,1,67,0,7,42,60,1
39,0,0,48948.0,0,902,2,24,72,729,2
40,0,1,80011.0,1,1395,0,21,35,612,2
41,0,1,20559.0,1,53,0,7,30,394,1
42,0,1,21994.0,1,22,0,4,58,738,1
43,0,0,52247.25135379061,0,186,0,9,56,600,1
44,0,1,7500.0,1,31,0,8,40,690,1
45,0,0,79941.0,0,984,0,16,39,187,2
46,0,1,7500.0,0,122,1,10,19,842,1
47,0,1,41728.0,1,55,0,5,47,587,1
48,0,0,52247.25135379061,3,124,0,10,64,365,1
49,0,1,72550.0,2,1319,0,28,61,873,2
50,0,0,65486.0,1,507,0,17,58,27,1
51,0,1,79143.0,0,1693,0,29,51,784,2
52,0,0,35790.0,1,72,0,7,38,699,1
53,0,0,82582.0,0,1617,3,21,38,179,2
54,0,1,66373.0,2,606,0,23,37,391,1
55,0,1,82384.0,0,1957,2,27,60,773,2
56,0,0,70287.0,0,1093,1,21,49,696,2
57,0,0,27938.0,1,29,0,6,27,248,1
58,0,0,52247.25135379061,1,46,0,7,33,563,1
59,0,1,55954.0,1,518,0,19,47,304,1
60,0,0,75777.0,0,1438,3,21,33,634,2
61,0,1,66653.0,2,612,0,22,40,906,2
62,0,0,61823.0,1,884,0,24,63,682,2
63,0,0,67680.0,1,606,0,19,64,421,2
64,0,1,70666.0,0,1076,0,16,67,568,2
65,0,1,25721.0,1,34,1,5,44,590,1
66,0,1,32474.0,2,11,0,4,48,57,1
67,0,0,88194.0,1,1274,3,32,36,288,2
68,0,1,69096.0,1,653,0,18,57,461,2
69,0,1,74854.0,3,1562,0,19,45,515,2
70,0,1,66991.0,0,1253,0,21,61,783,2
71,0,1,52247.25135379061,1,109,0,9,42,839,1
72,0,1,65031.0,1,863,0,30,56,655,2
73,0,1,60631.0,2,661,1,24,40,607,2
74,0,1,28332.0,0,65,0,8,63,246,1
75,0,0,40246.0,1,13,0,4,38,743,1
76,0,1,75251.0,0,1890,1,19,43,857,2
